to_station_id,to_station_name,,,,,"=RIGHT(A2,FIND(""-"",A2)-2)","=LEFT(A1,FIND(""-"",A1)-1)","=IF(COUNTIF(B1,""occidental""),""Yes"",""No"")"
SLU-01,REI / Yale Ave N & John St,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
ID-04,6th Ave S & S King St,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
CBD-03,7th Ave & Union St,,,,,,,
SLU-16,Pine St & 9th Ave,,,,,,,
FH-01,Frye Art Museum / Terry Ave & Columbia St,,,,,,,
EL-01,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,,,,,,,
DPD-01,9th Ave N & Mercer St,,,,,,,
EL-03,E Blaine St & Fairview Ave E,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
CH-01,Summit Ave & E Denny Way,,,,,,,
SLU-16,Pine St & 9th Ave,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
CH-02,E Harrison St & Broadway Ave E,,,,,,,
CH-07,E Pine St & 16th Ave,,,,,,,
PS-04,Occidental Park / Occidental Ave S & S Washington St,,,,,,,
FH-04,Seattle University / E Columbia St & 12th Ave,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
SLU-20,Terry Ave & Stewart St,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
BT-04,6th Ave & Blanchard St,,,,,,,
UD-02,NE 42nd St & University Way NE,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
UW-02,Burke Museum / E Stevens Way NE & Memorial Way NE,,,,,,,
DPD-03,Children's Hospital / Sandpoint Way NE & 40th Ave NE,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
UD-01,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,,,,,,,
SLU-16,Pine St & 9th Ave,,,,,,,
CH-08,Cal Anderson Park / 11th Ave & Pine St,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
CBD-04,Union St & 4th Ave,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
UD-04,12th Ave & NE Campus Pkwy,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
CH-02,E Harrison St & Broadway Ave E,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
CD-01,12th Ave & E Yesler Way,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
EL-05,Eastlake Ave E & E Allison St,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
DPD-01,9th Ave N & Mercer St,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
UW-02,Burke Museum / E Stevens Way NE & Memorial Way NE,,,,,,,
DPD-01,9th Ave N & Mercer St,,,,,,,
PS-04,Occidental Park / Occidental Ave S & S Washington St,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
EL-01,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
UW-02,Burke Museum / E Stevens Way NE & Memorial Way NE,,,,,,,
UW-04,15th Ave NE & NE 40th St,,,,,,,
CH-02,E Harrison St & Broadway Ave E,,,,,,,
CBD-05,1st Ave & Marion St,,,,,,,
UW-06,UW Engineering Library / E Stevens Way NE & Jefferson Rd,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
EL-01,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,,,,,,,
UW-07,UW Intramural Activities Building,,,,,,,
SLU-20,Terry Ave & Stewart St,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
EL-01,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
EL-01,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,,,,,,,
SLU-17,Lake Union Park / Valley St & Boren Ave N,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
CBD-03,7th Ave & Union St,,,,,,,
PS-04,Occidental Park / Occidental Ave S & S Washington St,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
CBD-03,7th Ave & Union St,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
UW-04,15th Ave NE & NE 40th St,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
BT-05,2nd Ave & Blanchard St,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
ID-04,6th Ave S & S King St,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
CH-12,Bellevue Ave & E Pine St,,,,,,,
CBD-06,2nd Ave & Spring St,,,,,,,
CH-15,12th Ave & E Mercer St,,,,,,,
BT-05,2nd Ave & Blanchard St,,,,,,,
PS-04,Occidental Park / Occidental Ave S & S Washington St,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
CBD-05,1st Ave & Marion St,,,,,,,
PS-04,Occidental Park / Occidental Ave S & S Washington St,,,,,,,
UD-01,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
EL-01,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,,,,,,,
CH-02,E Harrison St & Broadway Ave E,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
PS-04,Occidental Park / Occidental Ave S & S Washington St,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
CH-07,E Pine St & 16th Ave,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
CH-08,Cal Anderson Park / 11th Ave & Pine St,,,,,,,
CBD-03,7th Ave & Union St,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
CH-01,Summit Ave & E Denny Way,,,,,,,
SLU-20,Terry Ave & Stewart St,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
UW-04,15th Ave NE & NE 40th St,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
ID-04,6th Ave S & S King St,,,,,,,
CH-02,E Harrison St & Broadway Ave E,,,,,,,
UD-04,12th Ave & NE Campus Pkwy,,,,,,,
DPD-01,9th Ave N & Mercer St,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
CBD-05,1st Ave & Marion St,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
DPD-01,9th Ave N & Mercer St,,,,,,,
UD-04,12th Ave & NE Campus Pkwy,,,,,,,
CH-05,15th Ave E & E Thomas St,,,,,,,
