birthyear,(All),,,,,
,,,,,,
,Column Labels,,,,,
,Female,,Male,,Total Total trip time,Total Average trip time
Row Labels,Total trip time,Average trip time,Total trip time,Average trip time,,
21-Sep,"1,155",578,"3,464",577,"4,619",577
22-Sep,"2,161","1,080","4,359",623,"6,519",724
23-Sep,"4,075","1,019","4,252",532,"8,327",694
24-Sep,658,658,"4,835",691,"5,493",687
25-Sep,,,"1,662",415,"1,662",415
27-Sep,,,149,149,149,149
28-Sep,653,653,"1,357",678,"2,010",670
29-Sep,"1,535",767,"2,056",411,"3,591",513
30-Sep,520,520,"3,776",629,"4,296",614
1-Oct,"2,364","1,182","2,232",558,"4,596",766
2-Oct,"1,623",541,"2,536",507,"4,159",520
3-Oct,,,"1,404",702,"1,404",702
5-Oct,"1,520",760,"3,332",666,"4,852",693
6-Oct,872,872,"2,545",509,"3,417",569
7-Oct,599,599,"1,412",471,"2,011",503
8-Oct,"4,004",667,"2,383",596,"6,386",639
9-Oct,,,"4,152",593,"4,152",593
12-Oct,477,477,"1,793",598,"2,270",568
CBD-06,"38,567",728,"169,948",491,"208,515",523
1-Aug,341,341,"2,168",542,"2,509",502
2-Aug,,,683,683,683,683
3-Aug,,,"1,777",444,"1,777",444
4-Aug,"1,200","1,200","3,588",449,"4,788",532
5-Aug,272,272,"2,280",456,"2,552",425
6-Aug,,,"2,964",593,"2,964",593
7-Aug,"2,278","1,139","3,124",521,"5,403",675
8-Aug,769,769,"1,184",395,"1,953",488
9-Aug,"4,073","4,073","1,693",846,"5,766","1,922"
10-Aug,,,"5,288",529,"5,288",529
11-Aug,"2,528",632,"2,448",408,"4,976",498
12-Aug,846,846,"6,350",706,"7,197",720
13-Aug,495,495,"4,222",469,"4,717",472
14-Aug,,,659,659,659,659
16-Aug,"1,162",581,538,538,"1,700",567
17-Aug,,,"4,369",546,"4,369",546
18-Aug,"1,062","1,062","4,275",389,"5,337",445
19-Aug,842,842,"5,192",472,"6,034",503
20-Aug,869,869,"3,112",519,"3,981",569
21-Aug,"1,064",532,"4,048",506,"5,112",511
22-Aug,,,"1,662",554,"1,662",554
23-Aug,,,"2,042",681,"2,042",681
24-Aug,"1,686",843,"2,831",404,"4,517",502
25-Aug,312,312,"5,951",425,"6,263",418
26-Aug,,,"4,142",414,"4,142",414
27-Aug,"1,306",435,"2,665",444,"3,971",441
28-Aug,,,"2,249",321,"2,249",321
30-Aug,,,738,738,738,738
31-Aug,,,"2,851",713,"2,851",713
1-Sep,825,825,"2,933",419,"3,758",470
2-Sep,"2,428",809,"1,190",397,"3,618",603
3-Sep,330,330,"6,501",542,"6,831",525
4-Sep,,,"1,876",469,"1,876",469
6-Sep,,,266,266,266,266
8-Sep,"1,066","1,066","2,540",508,"3,607",601
9-Sep,468,468,"1,078",359,"1,546",386
10-Sep,"1,070",535,"3,431",429,"4,502",450
11-Sep,"1,088",544,"3,172",529,"4,260",532
12-Sep,,,567,567,567,567
14-Sep,179,179,"2,713",543,"2,892",482
15-Sep,,,"2,277",455,"2,277",455
16-Sep,,,"3,723",465,"3,723",465
17-Sep,,,"1,997",499,"1,997",499
18-Sep,,,"1,739",580,"1,739",580
19-Sep,,,498,498,498,498
20-Sep,,,264,264,264,264
21-Sep,821,821,"3,864",552,"4,685",586
22-Sep,756,756,"5,300",663,"6,056",673
23-Sep,965,483,"4,237",605,"5,202",578
24-Sep,,,"4,543",505,"4,543",505
25-Sep,972,486,601,301,"1,573",393
28-Sep,,,587,196,587,196
29-Sep,"1,014","1,014","4,309",431,"5,323",484
30-Sep,637,318,"3,390",484,"4,027",447
1-Oct,704,704,"2,527",505,"3,231",538
2-Oct,,,"2,673",445,"2,673",445
3-Oct,,,824,824,824,824
4-Oct,,,417,417,417,417
5-Oct,336,336,"2,903",484,"3,239",463
6-Oct,,,"1,856",371,"1,856",371
7-Oct,"1,296","1,296",827,414,"2,123",708
8-Oct,"1,167","1,167","2,617",523,"3,784",631
9-Oct,"1,031","1,031","2,455",491,"3,486",581
11-Oct,308,308,,,308,308
12-Oct,,,"4,158",594,"4,158",594
CBD-07,"46,748",835,"138,352",623,"185,100",666
1-Aug,,,988,494,988,494
2-Aug,,,951,951,951,951
3-Aug,"7,181","7,181","4,959",827,"12,140","1,734"
4-Aug,"1,837",459,"3,477",386,"5,314",409
5-Aug,,,"1,079",540,"1,079",540
6-Aug,886,886,"2,855",714,"3,741",748
7-Aug,"2,335",778,637,637,"2,972",743
9-Aug,"1,188","1,188","1,175","1,175","2,363","1,182"
10-Aug,"1,009","1,009",978,244,"1,987",397
11-Aug,629,315,"7,582",758,"8,211",684
12-Aug,526,526,"2,339",468,"2,865",478
13-Aug,908,303,"2,928",586,"3,836",480
14-Aug,,,693,693,693,693
15-Aug,544,544,,,544,544
16-Aug,"1,231","1,231","1,062","1,062","2,293","1,147"
17-Aug,585,585,499,249,"1,083",361
18-Aug,,,"5,533",692,"5,533",692
19-Aug,886,443,"5,968","1,492","6,854","1,142"
20-Aug,"1,585",793,"1,714",571,"3,299",660
21-Aug,672,672,"1,821",607,"2,494",623
24-Aug,"1,490",497,225,225,"1,715",429
25-Aug,,,"5,547",792,"5,547",792
26-Aug,,,"5,696",570,"5,696",570
27-Aug,617,617,"3,542",443,"4,159",462
28-Aug,,,"2,735",684,"2,735",684
31-Aug,,,983,491,983,491
1-Sep,,,"3,083","1,028","3,083","1,028"
